Date,ADM,BF.B,CAG,CHD,CL,CLX,COST,COTY,CPB,CVS,DPS,EL,GIS,HRL,HSY,K,KHC,KMB,KO,KR,MDLZ,MKC,MNST,MO,PEP,PG,PM,SJM,STZ,SYY,TAP,TSN,WBA,WMT
<<<<<<< HEAD
=======
2008-01-25,33.159683,,11.809434,9.318767999999999,25.580157999999997,43.917351000000004,50.475296,,23.453197,30.659723,,16.360149,18.202929,7.645075,26.189159,34.986069,,42.558228,18.587614000000002,9.464342,15.190203,27.171888,6.831666,13.384542000000001,51.13739,47.923828,,31.784174,19.889942,19.931870999999997,34.891678000000006,11.793528,27.989962,37.478321
2008-01-28,34.096745,,11.972053,9.394351,25.777860999999998,44.521675,51.169258,,23.776325,30.599365000000002,,16.610312,18.632734,7.8909009999999995,27.543232,36.419613,,42.445328,18.905839999999998,9.48679,15.526860999999998,27.323636999999998,6.965,13.576395000000002,52.139053000000004,47.909141999999996,,32.588634000000006,20.316853,20.451647,35.653659999999995,12.442793,28.128765,37.961506
2008-01-29,33.813271,,11.938409,9.381756,25.680746,44.676441,51.416016,,24.016788000000002,31.306377,,17.177326,18.808088,7.8909009999999995,28.220271999999998,36.478432,,43.461459999999995,18.63216,9.456861,15.399344000000001,27.595196,6.933333,13.777304999999998,50.922199,47.461552000000005,,32.941502,20.617626,20.336143,35.756840000000004,12.140395,28.349228000000004,38.195301
2008-01-30,33.852641999999996,,12.078596000000001,9.370957,25.493446,44.190028999999996,51.069046,,23.994247,31.056340999999996,,16.94385,18.536459,7.876558,27.827902,36.103497,,42.85046,18.383947,9.415711,15.021879,26.972208000000002,6.201667,13.846075,50.002148,47.762383,,32.595707,20.103392000000003,20.061815,35.209187,12.460583,28.022619,38.312202
2008-01-31,34.63221,,12.044953,9.577919,26.533993,45.207081,52.3876,,23.716213,33.548088,,17.602596,18.746199,7.935967,27.827902,35.140446000000004,,43.587658000000005,18.775368,9.520453,14.930067000000001,26.844419,6.426667,13.717569000000001,50.491852,48.004551,,33.012066,20.278038000000002,20.935322,35.455231,12.647361,28.610515999999997,39.543568
2008-02-01,35.829151,,12.370188,9.595916,26.159392999999998,46.496821999999995,52.271927000000005,,24.362467000000002,34.401653,,18.690767,19.182878,7.983078,27.697109,36.037346,,44.524097,18.858103,9.718721,15.006576,27.523315000000004,6.531667,13.654225,51.070595000000004,48.466854,,34.261127,21.102741,21.53451,36.375923,12.816345,29.655647,39.886478000000004
2008-02-04,34.805465999999996,,12.274858,9.523932,25.902721,44.757515000000005,51.647335,,24.182119,33.841232,,18.38224,19.103794,7.98718,27.389357,36.066753000000006,,43.859966,18.657621,9.726202,15.032079999999999,27.299677000000003,6.676667,13.587257999999999,51.359984999999995,48.540226000000004,,33.915337,20.375059,21.426223999999998,36.248940000000005,12.49616,28.945293,39.0214
2008-02-05,33.096691,,11.921584,9.844277,25.968624,43.799423,50.020359,,23.663607,32.763489,,18.007008,18.725569,7.956449,27.073919,35.397751,,43.461459999999995,18.266209,9.483047000000001,14.766839000000001,26.796491999999997,6.493333,13.236127,50.417664,47.725716,,33.929459,19.560060999999997,21.19521,35.066292,12.264915,28.537027000000002,38.623959
2008-02-06,32.490345,,11.927192,9.718295,25.82641,42.679195,49.125893,,23.686153,33.065243,,18.177946,18.715256,7.882706,26.943129,36.088791,,43.368488,18.364855,9.479308999999999,14.924963,27.243776,6.325,13.169158,49.512444,47.923828,,33.273154999999996,19.715296,21.151897,35.542542,12.229337,28.185935999999998,38.055031
2008-02-07,32.529716,,11.938409,9.81606,26.228765000000003,42.443366999999995,49.927822,,23.843956,33.763618,,18.461456,18.852791,7.985128,26.873886,36.485786,,43.209099,18.600342,9.483047000000001,15.006576,26.988182000000002,6.481667,13.41169,52.242939,48.261379,,33.99297,20.064587,21.382906,35.677464,12.158182,28.365568,38.842163
2008-02-08,32.608463,,11.775791,9.752694,25.777860999999998,42.052761,48.763484999999996,,23.34799,34.108505,,18.157103,18.512392000000002,7.960547,26.481503999999997,36.154968,,42.883663,18.854923,9.621456,14.695426000000001,26.796491999999997,6.375,13.228887,51.797729,47.711033,,33.548382000000004,19.627975,21.108589000000002,35.812401,12.167081,28.643178999999996,38.000473
2008-02-11,33.821148,,11.910368,9.852267,26.225294,42.060127,49.349517999999996,,23.438171,34.634440999999995,,18.282179,18.880295,7.956449,26.720013,36.456367,,42.976646,18.934479,9.714978,14.955568,27.467405,6.398333999999999,13.107616,52.651019999999995,48.430141,,34.105885,19.899645,21.346807000000002,36.002903,12.060349,29.320883000000002,38.655121
2008-02-12,34.317245,,11.960838,9.86675,26.610291999999998,41.868503999999994,49.665661,,23.738749,34.798266999999996,,18.278013,18.952501,8.083459,27.750965,37.162121,,43.574375,19.068136,9.643904,14.914767000000001,28.010523,6.45,13.109428,53.392993999999995,49.281357,,34.155273,20.384764,21.354023,39.415852,12.113711,29.590342,39.16169
2008-02-13,34.616467,,11.887939,9.893908,26.745572999999997,42.819229,50.759205,,23.663607,35.108662,,18.303028,19.083164,7.989228,27.597092,37.603221999999995,,43.375118,18.899471,9.95621,15.077986,28.050457,6.421667,13.185448999999998,53.148159,49.163925,,34.467724,20.472088,21.693323,40.058772999999995,12.309382000000001,29.557667,39.481228
2008-02-14,34.379528,,11.79822,9.810628,26.433398999999998,42.148559999999996,49.468586,,23.678635,34.332684,,18.140429,18.849352,7.964647,27.412440999999998,37.397372999999995,,42.60471,18.63216,9.888479,14.950467999999999,27.547276,6.32,13.15649,53.103634,48.892437,,33.977757000000004,19.880239000000003,21.303495,40.320698,12.167081,29.086942999999998,38.943481
2008-02-15,34.853409,,12.179532,9.765367999999999,26.124708,41.927467,49.399035999999995,,25.128969,34.246452000000005,,18.115414,19.389187,8.273972,27.689411,38.02961,,42.79068,18.698988,10.110484,15.980832000000001,28.130325,6.681667,13.127526999999999,53.222359,48.650276,,35.689064,19.967562,21.570601999999997,40.471503999999996,12.122607,29.037815000000002,38.530429999999996
