Date,AIV,AMT,ARE,AVB,BXP,CBRE,CCI,DLR,DRE,EQIX,EQR,ESS,EXR,FRT,GGP,HCP,HST,IRM,KIM,MAA,MAC,O,PLD,PSA,REG,SBAC,SLG,SPG,UDR,VNO,VTR,WELL,WY
2018-02-02,40.151833,145.220001,123.20420800000001,162.459625,118.550125,,111.04981200000002,106.68040500000001,26.570944,434.796143,59.40819200000001,223.58813500000002,81.113853,114.555176,22.52,23.472799,20.110001,33.064213,14.87,91.690002,60.710239,51.022659000000004,63.346518999999994,188.40126,59.543121,173.21000700000002,98.07,154.573486,35.200001,70.33000200000001,54.330002,0.145,35.354065000000006
2018-02-05,39.280471999999996,142.03999299999998,118.99549099999999,157.564819,113.98056799999999,,109.474709,103.33270999999999,25.410078,427.300171,57.525364,216.256897,79.161339,111.56091299999999,21.629998999999998,22.872698,19.35,32.150673,14.66,88.900002,59.001343000000006,49.877762,60.746361,183.124725,57.730681999999995,168.270004,93.639999,153.190887,34.18,67.58000200000001,52.880001,0.145,34.472195
2018-02-06,39.230965000000005,140.169998,117.66538200000001,158.783569,114.55673200000001,,107.533073,103.501083,25.32078,428.33410599999996,57.188435,217.080292,79.022583,111.263474,21.59,23.079288000000002,19.42,32.523949,14.67,89.190002,58.922321,49.847893,60.279922,183.540497,57.23548100000001,166.0,93.449997,154.040192,34.310001,67.790001,53.189999,0.145,34.363197
2018-02-07,38.824989,140.0,118.082275,156.83158899999998,114.576599,,107.73119399999999,103.17424,25.171951,423.591919,56.346118999999995,216.07830800000002,79.706459,110.39096799999999,21.969998999999998,23.000587,19.450001,32.592709,14.52,87.93,59.45573,48.702995,59.585224,183.49101299999998,56.977973999999996,166.509995,92.860001,152.93412800000002,33.799999,67.300003,52.970001,0.145,34.204659
2018-02-08,37.834808,133.570007,113.734596,153.522156,111.348106,,102.837471,98.014046,24.328587,407.58596800000004,54.760578,216.54458599999998,76.87183399999999,107.188499,21.620001000000002,22.272596,18.75,31.502353999999997,14.01,85.389999,57.648056000000004,47.34903,57.888176,178.67976399999998,55.046688,159.850006,90.610001,150.287445,32.919998,66.18,50.919998,0.145,33.293064
2018-02-09,38.953716,136.050003,117.169067,158.149429,114.586533,,102.88700899999999,101.232979,25.171951,423.323517,56.138016,226.127777,79.676727,108.97316000000001,22.209999,22.833345,19.52,32.514122,14.18,87.75,59.67305,48.683085999999996,59.863102000000005,185.28286699999998,56.155937,159.729996,92.18,155.245026,33.790001000000004,67.690002,51.59,0.145,33.481331
2018-02-12,38.884403000000006,136.229996,118.201393,157.297287,114.377922,,104.125298,104.04583000000001,25.102497,428.930603,56.098377,226.038498,80.08309200000001,109.30034599999999,22.5,22.479189,19.42,32.710583,14.32,87.739998,60.058289,48.464062,59.694393000000005,185.936249,56.72047,159.630005,92.690002,154.850006,33.73,67.599998,50.459998999999996,0.145,34.046124
2018-02-13,38.894302,136.309998,119.471954,157.94133,115.420975,,105.36358600000001,104.115166,25.42,433.70254500000004,56.474945,226.465073,81.847298,109.320175,22.35,22.429998,19.52,32.946335,14.34,87.989998,60.087925,48.772686,60.696739,187.302399,56.987877000000005,161.419998,93.82,155.490005,34.0,67.459999,50.720001,0.145,33.897490999999995
2018-02-14,38.32,135.479996,119.17416399999999,157.465729,114.69580800000001,,104.372955,104.263725,25.530001000000002,433.285004,56.157833,222.973053,80.420067,109.875404,21.76,21.77,19.639999,32.602528,14.26,87.849998,60.809020999999994,47.886631,60.081436,184.906662,57.106728000000004,162.559998,93.790001,154.08999599999999,33.790001000000004,66.08000200000001,49.619999,0.145,34.640640000000005
2018-02-15,39.369999,136.220001,120.84176599999999,159.625793,116.62297099999999,,106.631592,104.442001,25.639999,404.931549,57.386627000000004,227.74482700000002,81.777916,111.144493,22.08,22.290001,19.559998999999998,33.12315,14.67,88.980003,60.35463000000001,49.061398,60.944846999999996,188.56955,57.285,167.100006,95.540001,156.149994,34.400002,67.150002,50.639998999999996,0.145,34.630733
2018-02-16,39.689999,140.020004,121.75498200000001,161.082336,118.84813700000001,,108.097733,101.22306800000001,25.879998999999998,400.944946,57.446087,227.844025,81.470665,113.474457,22.0,22.68,19.879998999999998,32.582882,15.2,88.75,59.919998,49.73838,61.510529000000005,186.85690300000002,58.040001000000004,169.119995,96.199997,156.08999599999999,34.610001000000004,67.660004,51.389998999999996,0.145,34.858631
2018-02-20,39.110001000000004,139.240005,120.077454,158.952011,118.599792,,107.55288700000001,98.62812,25.469998999999998,394.125031,57.119068000000006,223.64765899999998,80.03353100000001,113.583519,21.620001000000002,22.450001,19.51,31.551468,15.25,88.25,59.380001,49.18087,60.766208999999996,184.441376,58.060001,169.720001,96.25,155.58999599999999,34.240002000000004,67.290001,50.27,0.145,34.620823
2018-02-21,38.0,137.440002,117.55618999999999,154.59226999999998,115.083221,,105.78955800000001,97.013695,24.82,382.672302,55.365063,218.399704,80.776878,110.16293300000001,21.1,21.799999,19.219998999999998,30.912972999999997,14.68,85.510002,57.959998999999996,48.175346000000005,59.45620699999999,188.836853,56.740002000000004,169.5,94.5,151.300003,33.220001,65.190002,49.34,0.145,34.442467
2018-02-22,38.279999,138.979996,119.08483100000001,155.682205,117.685883,,107.44391599999999,99.866173,24.9,388.170013,55.662354,219.82826200000002,83.680878,113.10762,21.280001000000002,21.889999,19.110001,31.021029,14.99,85.910004,58.799999,49.081309999999995,59.485981,191.20288100000002,58.279999,171.119995,95.910004,154.029999,33.439999,66.529999,49.669998,0.145,34.541553
2018-02-23,38.880001,141.869995,121.745056,158.545761,120.16934199999999,,109.40536499999999,101.22306800000001,25.469998999999998,394.839996,56.474945,225.46310400000002,85.831627,114.941849,21.52,22.360001,19.209999,31.3943,15.26,88.050003,59.360001000000004,49.977318,60.795981999999995,193.717392,59.009997999999996,172.929993,97.620003,156.66000400000001,34.139998999999996,67.66999799999999,50.509997999999996,0.145,35.076622
2018-02-26,39.009997999999996,142.740005,122.46966599999999,158.684479,120.626297,,110.49506399999999,100.609001,25.41,394.179993,56.613678,225.30438199999998,85.891098,115.963066,21.889999,22.440001000000002,19.0,31.38448,15.49,87.769997,59.810001,50.375541999999996,60.845604,193.915405,59.330002,172.729996,98.059998,159.070007,34.139998999999996,68.099998,50.73,0.145,35.334244
