Identifier,Name,# (P),% Wgt (P),Mkt Val (P),Pos (P),Px Close (P),Crncy (P),# (B),% Wgt (B),% Wgt (D)
TMO,THERMO FISHER SCIENTIFIC INC,,2.228243942,159731719.026261,778381.75053,205.21,USD,,2.238846721,-0.010602778
TVTY,TIVITY HEALTH INC,,0.037259587,2670954.398144,68839.03088,38.8,USD,,0.037639273,-0.000379686
TRVN,TREVENA INC,,0.001816052,130183.737005,74390.70686,1.75,USD,,0.001928114,-0.000112062
GTS,TRIPLE-S MANAGEMENT CORP-B,,0.016861916,1208746.8496719,45322.34157,26.67,USD,,0.016653815,0.0002081
USPH,U.S. PHYSICAL THERAPY INC,,0.026392767,1891966.1222385,24396.72627,77.55,USD,,0.026545544,-0.000152777
RARE,ULTRAGENYX PHARMACEUTICAL IN,,0.056478514,4048663.625254,83598.2578,48.43,USD,,0.058801926,-0.002323411
QURE,UNIQURE NV,,0.008564209,613925.556192,24596.37645,24.96,USD,,0.014641344,-0.006077135
UTHR,UNITED THERAPEUTICS CORP,,0.133721065,9585797.7292676,84411.74471,113.56,USD,,0.133507827,0.000213237
UNH,UNITEDHEALTH GROUP INC,,5.88797941,422079941.400573,1880507.64714,224.45,USD,,5.917797669,-0.029818259
UHS,UNIVERSAL HEALTH SERVICES-B,,0.278367389,19954772.8235094,171994.24947,116.02,USD,,0.276618192,0.001749197
VNDA,VANDA PHARMACEUTICALS INC,,0.021437217,1536727.467341,82177.93943,18.7,USD,,0.021715218,-0.000278
VREX,VAREX IMAGING CORP,,0.035129126,2518232.257401,73417.85007,34.3,USD,,0.035118025,1.11e-05
VAR,VARIAN MEDICAL SYSTEMS INC,,0.292437829,20963412.6026052,178579.20268,117.39,USD,,0.29261279,-0.000174961
VEEV,VEEVA SYSTEMS INC-CLASS A,,0.206590773,14809464.4255745,211715.00251,69.95,USD,,0.217921453,-0.011330679
VSAR,VERSARTIS INC,,0.00102625,73566.799608,47462.45136,1.55,USD,,0.00105709,-3.0839e-05
VRTX,VERTEX PHARMACEUTICALS INC,,1.134282152,81311042.5921563,490327.70061,165.83,USD,,1.141046433,-0.00676428
VRAY,VIEWRAY INC,,0.00433515,310765.3784592,39638.44113,7.84,USD,,0.005035936,-0.000700785
VCRA,VOCERA COMMUNICATIONS INC,,0.018967756,1359704.0824038,51387.15353,26.46,USD,,0.018930111,3.7645e-05
VYGR,VOYAGER THERAPEUTICS INC,,0.013722407,983691.1346595,33289.04009,29.55,USD,,0.013906592,-0.000184184
WAT,WATERS CORP,,0.429212797,30768129.4211613,155261.28789,198.17,USD,,0.428816865,0.000395932
WVE,WAVE LIFE SCIENCES LTD,,0.015230636,1091808.535764,21923.86618,49.8,USD,,0.015061378,0.000169258
WCG,WELLCARE HEALTH PLANS INC,,0.233734427,16755257.8643169,86586.00519,193.51,USD,,0.234401423,-0.000666995
WST,WEST PHARMACEUTICAL SERVICES,,0.17189003,12321940.8165936,144015.20356,85.56,USD,,0.172850574,-0.000960544
WMGI,WRIGHT MEDICAL GROUP NV,,0.052786006,3783966.0803928,193158.04392,19.59,USD,,0.053173787,-0.000387781
WMGIZ,WRIGHT MEDICAL GROUP NV-CVR,,0.000263757,18907.497364352,12744.33632,1.4836,USD,,,0.000263757
XBIT,XBIOTECH INC,,0.001980828,141995.7244836,29217.22726,4.86,USD,,0.002108636,-0.000127808
XNCR,XENCOR INC,,0.031724341,2274160.1346222,78069.34894,29.13,USD,,0.031636019,8.8322e-05
ZBH,ZIMMER BIOMET HOLDINGS INC,,0.623005288,44660148.646707,393308.22234,113.55,USD,,0.625519591,-0.002514302
ZIOP,ZIOPHARM ONCOLOGY INC,,0.012647783,906656.6742122,250457.64481,3.62,USD,,0.012583808,6.3975e-05
ZTS,ZOETIS INC,,1.067481226,76522416.6365752,951298.06858,80.44,USD,,1.06645981,0.001021416
ZGNX,ZOGENIX INC,,0.033864647,2427588.012162,58215.53986,41.7,USD,,0.036918024,-0.003053377
